year,month,region,extent_mkm2,source,anomaly_mkm2
1979,1,total_NSR,15.41,NSIDC Sea Ice Index v4,0.9896551724137925
1980,1,total_NSR,14.86,NSIDC Sea Ice Index v4,0.4396551724137918
1981,1,total_NSR,14.91,NSIDC Sea Ice Index v4,0.4896551724137925
1982,1,total_NSR,15.18,NSIDC Sea Ice Index v4,0.7596551724137921
1983,1,total_NSR,14.94,NSIDC Sea Ice Index v4,0.5196551724137919
1984,1,total_NSR,14.47,NSIDC Sea Ice Index v4,0.049655172413793025
1985,1,total_NSR,14.72,NSIDC Sea Ice Index v4,0.299655172413793
1986,1,total_NSR,14.89,NSIDC Sea Ice Index v4,0.46965517241379295
1987,1,total_NSR,14.97,NSIDC Sea Ice Index v4,0.549655172413793
1989,1,total_NSR,14.95,NSIDC Sea Ice Index v4,0.5296551724137917
1990,1,total_NSR,14.78,NSIDC Sea Ice Index v4,0.35965517241379175
1991,1,total_NSR,14.36,NSIDC Sea Ice Index v4,-0.06034482758620818
1992,1,total_NSR,14.64,NSIDC Sea Ice Index v4,0.21965517241379295
1993,1,total_NSR,14.9,NSIDC Sea Ice Index v4,0.47965517241379274
1994,1,total_NSR,14.73,NSIDC Sea Ice Index v4,0.3096551724137928
1995,1,total_NSR,14.59,NSIDC Sea Ice Index v4,0.16965517241379224
1996,1,total_NSR,14.18,NSIDC Sea Ice Index v4,-0.2403448275862079
1997,1,total_NSR,14.42,NSIDC Sea Ice Index v4,-0.0003448275862076855
1998,1,total_NSR,14.72,NSIDC Sea Ice Index v4,0.299655172413793
1999,1,total_NSR,14.36,NSIDC Sea Ice Index v4,-0.06034482758620818
2000,1,total_NSR,14.22,NSIDC Sea Ice Index v4,-0.20034482758620697
2001,1,total_NSR,14.2,NSIDC Sea Ice Index v4,-0.22034482758620832
2002,1,total_NSR,14.27,NSIDC Sea Ice Index v4,-0.15034482758620804
2003,1,total_NSR,14.39,NSIDC Sea Ice Index v4,-0.030344827586207046
2004,1,total_NSR,14.03,NSIDC Sea Ice Index v4,-0.39034482758620825
2005,1,total_NSR,13.66,NSIDC Sea Ice Index v4,-0.7603448275862075
2006,1,total_NSR,13.47,NSIDC Sea Ice Index v4,-0.950344827586207
2007,1,total_NSR,13.7,NSIDC Sea Ice Index v4,-0.7203448275862083
2008,1,total_NSR,13.89,NSIDC Sea Ice Index v4,-0.530344827586207
2009,1,total_NSR,13.91,NSIDC Sea Ice Index v4,-0.5103448275862075
2010,1,total_NSR,13.74,NSIDC Sea Ice Index v4,-0.6803448275862074
2011,1,total_NSR,13.46,NSIDC Sea Ice Index v4,-0.9603448275862068
2012,1,total_NSR,13.73,NSIDC Sea Ice Index v4,-0.6903448275862072
2013,1,total_NSR,13.7,NSIDC Sea Ice Index v4,-0.7203448275862083
2014,1,total_NSR,13.65,NSIDC Sea Ice Index v4,-0.7703448275862073
2015,1,total_NSR,13.6,NSIDC Sea Ice Index v4,-0.820344827586208
2016,1,total_NSR,13.46,NSIDC Sea Ice Index v4,-0.9603448275862068
2017,1,total_NSR,13.19,NSIDC Sea Ice Index v4,-1.2303448275862081
2018,1,total_NSR,13.08,NSIDC Sea Ice Index v4,-1.3403448275862075
2019,1,total_NSR,13.57,NSIDC Sea Ice Index v4,-0.8503448275862073
2020,1,total_NSR,13.64,NSIDC Sea Ice Index v4,-0.780344827586207
2021,1,total_NSR,13.5,NSIDC Sea Ice Index v4,-0.9203448275862076
2022,1,total_NSR,13.87,NSIDC Sea Ice Index v4,-0.5503448275862084
2023,1,total_NSR,13.36,NSIDC Sea Ice Index v4,-1.0603448275862082
2024,1,total_NSR,13.92,NSIDC Sea Ice Index v4,-0.5003448275862077
2025,1,total_NSR,13.11,NSIDC Sea Ice Index v4,-1.3103448275862082
2026,1,total_NSR,13.11,NSIDC Sea Ice Index v4,-1.3103448275862082
1979,2,total_NSR,16.18,NSIDC Sea Ice Index v4,0.879666666666667
1980,2,total_NSR,15.96,NSIDC Sea Ice Index v4,0.6596666666666682
1981,2,total_NSR,15.6,NSIDC Sea Ice Index v4,0.29966666666666697
1982,2,total_NSR,15.97,NSIDC Sea Ice Index v4,0.669666666666668
1983,2,total_NSR,16.01,NSIDC Sea Ice Index v4,0.7096666666666689
1984,2,total_NSR,15.3,NSIDC Sea Ice Index v4,-0.00033333333333196435
1985,2,total_NSR,15.47,NSIDC Sea Ice Index v4,0.16966666666666796
1986,2,total_NSR,15.78,NSIDC Sea Ice Index v4,0.4796666666666667
1987,2,total_NSR,16.05,NSIDC Sea Ice Index v4,0.749666666666668
1988,2,total_NSR,15.58,NSIDC Sea Ice Index v4,0.2796666666666674
1989,2,total_NSR,15.5,NSIDC Sea Ice Index v4,0.19966666666666733
1990,2,total_NSR,15.58,NSIDC Sea Ice Index v4,0.2796666666666674
1991,2,total_NSR,15.25,NSIDC Sea Ice Index v4,-0.050333333333332675
1992,2,total_NSR,15.46,NSIDC Sea Ice Index v4,0.15966666666666818
1993,2,total_NSR,15.69,NSIDC Sea Ice Index v4,0.3896666666666668
1994,2,total_NSR,15.56,NSIDC Sea Ice Index v4,0.2596666666666678
1995,2,total_NSR,15.23,NSIDC Sea Ice Index v4,-0.07033333333333225
1996,2,total_NSR,15.15,NSIDC Sea Ice Index v4,-0.15033333333333232
1997,2,total_NSR,15.44,NSIDC Sea Ice Index v4,0.13966666666666683
1998,2,total_NSR,15.75,NSIDC Sea Ice Index v4,0.4496666666666673
1999,2,total_NSR,15.31,NSIDC Sea Ice Index v4,0.009666666666667822
2000,2,total_NSR,15.14,NSIDC Sea Ice Index v4,-0.1603333333333321
2001,2,total_NSR,15.21,NSIDC Sea Ice Index v4,-0.09033333333333182
2002,2,total_NSR,15.34,NSIDC Sea Ice Index v4,0.03966666666666718
2003,2,total_NSR,15.19,NSIDC Sea Ice Index v4,-0.11033333333333317
2004,2,total_NSR,14.91,NSIDC Sea Ice Index v4,-0.39033333333333253
2005,2,total_NSR,14.37,NSIDC Sea Ice Index v4,-0.9303333333333335
2006,2,total_NSR,14.32,NSIDC Sea Ice Index v4,-0.9803333333333324
2007,2,total_NSR,14.51,NSIDC Sea Ice Index v4,-0.7903333333333329
2008,2,total_NSR,14.95,NSIDC Sea Ice Index v4,-0.3503333333333334
2009,2,total_NSR,14.81,NSIDC Sea Ice Index v4,-0.4903333333333322
2010,2,total_NSR,14.58,NSIDC Sea Ice Index v4,-0.7203333333333326
2011,2,total_NSR,14.36,NSIDC Sea Ice Index v4,-0.9403333333333332
2012,2,total_NSR,14.55,NSIDC Sea Ice Index v4,-0.750333333333332
2013,2,total_NSR,14.72,NSIDC Sea Ice Index v4,-0.580333333333332
2014,2,total_NSR,14.42,NSIDC Sea Ice Index v4,-0.8803333333333327
2015,2,total_NSR,14.4,NSIDC Sea Ice Index v4,-0.9003333333333323
2016,2,total_NSR,14.2,NSIDC Sea Ice Index v4,-1.1003333333333334
2017,2,total_NSR,14.12,NSIDC Sea Ice Index v4,-1.1803333333333335
2018,2,total_NSR,13.97,NSIDC Sea Ice Index v4,-1.330333333333332
2019,2,total_NSR,14.39,NSIDC Sea Ice Index v4,-0.9103333333333321
2020,2,total_NSR,14.64,NSIDC Sea Ice Index v4,-0.6603333333333321
2021,2,total_NSR,14.39,NSIDC Sea Ice Index v4,-0.9103333333333321
2022,2,total_NSR,14.61,NSIDC Sea Ice Index v4,-0.6903333333333332
2023,2,total_NSR,14.19,NSIDC Sea Ice Index v4,-1.1103333333333332
2024,2,total_NSR,14.61,NSIDC Sea Ice Index v4,-0.6903333333333332
2025,2,total_NSR,13.75,NSIDC Sea Ice Index v4,-1.5503333333333327
2026,2,total_NSR,14.1,NSIDC Sea Ice Index v4,-1.200333333333333
1979,3,total_NSR,16.34,NSIDC Sea Ice Index v4,0.9123333333333346
1980,3,total_NSR,16.04,NSIDC Sea Ice Index v4,0.6123333333333338
1981,3,total_NSR,15.63,NSIDC Sea Ice Index v4,0.20233333333333547
1982,3,total_NSR,16.04,NSIDC Sea Ice Index v4,0.6123333333333338
1983,3,total_NSR,16.09,NSIDC Sea Ice Index v4,0.6623333333333346
1984,3,total_NSR,15.58,NSIDC Sea Ice Index v4,0.15233333333333476
1985,3,total_NSR,15.89,NSIDC Sea Ice Index v4,0.46233333333333526
1986,3,total_NSR,15.91,NSIDC Sea Ice Index v4,0.48233333333333483
1987,3,total_NSR,15.82,NSIDC Sea Ice Index v4,0.392333333333335
1988,3,total_NSR,15.96,NSIDC Sea Ice Index v4,0.5323333333333355
1989,3,total_NSR,15.42,NSIDC Sea Ice Index v4,-0.007666666666665378
1990,3,total_NSR,15.87,NSIDC Sea Ice Index v4,0.4423333333333339
1991,3,total_NSR,15.42,NSIDC Sea Ice Index v4,-0.007666666666665378
1992,3,total_NSR,15.48,NSIDC Sea Ice Index v4,0.05233333333333512
1993,3,total_NSR,15.81,NSIDC Sea Ice Index v4,0.3823333333333352
1994,3,total_NSR,15.55,NSIDC Sea Ice Index v4,0.1223333333333354
1995,3,total_NSR,15.26,NSIDC Sea Ice Index v4,-0.16766666666666552
1996,3,total_NSR,15.12,NSIDC Sea Ice Index v4,-0.3076666666666661
1997,3,total_NSR,15.47,NSIDC Sea Ice Index v4,0.04233333333333533
1998,3,total_NSR,15.6,NSIDC Sea Ice Index v4,0.17233333333333434
1999,3,total_NSR,15.4,NSIDC Sea Ice Index v4,-0.027666666666664952
2000,3,total_NSR,15.22,NSIDC Sea Ice Index v4,-0.20766666666666467
2001,3,total_NSR,15.52,NSIDC Sea Ice Index v4,0.09233333333333427
2002,3,total_NSR,15.35,NSIDC Sea Ice Index v4,-0.07766666666666566
2003,3,total_NSR,15.48,NSIDC Sea Ice Index v4,0.05233333333333512
2004,3,total_NSR,14.99,NSIDC Sea Ice Index v4,-0.4376666666666651
2005,3,total_NSR,14.69,NSIDC Sea Ice Index v4,-0.7376666666666658
2006,3,total_NSR,14.42,NSIDC Sea Ice Index v4,-1.0076666666666654
2007,3,total_NSR,14.54,NSIDC Sea Ice Index v4,-0.8876666666666662
2008,3,total_NSR,15.18,NSIDC Sea Ice Index v4,-0.2476666666666656
2009,3,total_NSR,14.98,NSIDC Sea Ice Index v4,-0.4476666666666649
2010,3,total_NSR,15.14,NSIDC Sea Ice Index v4,-0.28766666666666474
2011,3,total_NSR,14.55,NSIDC Sea Ice Index v4,-0.8776666666666646
2012,3,total_NSR,15.2,NSIDC Sea Ice Index v4,-0.22766666666666602
2013,3,total_NSR,15.03,NSIDC Sea Ice Index v4,-0.39766666666666595
2014,3,total_NSR,14.76,NSIDC Sea Ice Index v4,-0.6676666666666655
2015,3,total_NSR,14.37,NSIDC Sea Ice Index v4,-1.057666666666666
2016,3,total_NSR,14.4,NSIDC Sea Ice Index v4,-1.027666666666665
2017,3,total_NSR,14.29,NSIDC Sea Ice Index v4,-1.1376666666666662
2018,3,total_NSR,14.3,NSIDC Sea Ice Index v4,-1.1276666666666646
2019,3,total_NSR,14.57,NSIDC Sea Ice Index v4,-0.857666666666665
2020,3,total_NSR,14.73,NSIDC Sea Ice Index v4,-0.6976666666666649
2021,3,total_NSR,14.66,NSIDC Sea Ice Index v4,-0.7676666666666652
2022,3,total_NSR,14.59,NSIDC Sea Ice Index v4,-0.8376666666666654
2023,3,total_NSR,14.43,NSIDC Sea Ice Index v4,-0.9976666666666656
2024,3,total_NSR,14.87,NSIDC Sea Ice Index v4,-0.5576666666666661
2025,3,total_NSR,14.12,NSIDC Sea Ice Index v4,-1.307666666666666
2026,3,total_NSR,14.13,NSIDC Sea Ice Index v4,-1.2976666666666645
1979,4,total_NSR,15.45,NSIDC Sea Ice Index v4,0.7606666666666655
1980,4,total_NSR,15.43,NSIDC Sea Ice Index v4,0.7406666666666659
1981,4,total_NSR,15.01,NSIDC Sea Ice Index v4,0.320666666666666
1982,4,total_NSR,15.47,NSIDC Sea Ice Index v4,0.7806666666666668
1983,4,total_NSR,15.17,NSIDC Sea Ice Index v4,0.48066666666666613
1984,4,total_NSR,15.01,NSIDC Sea Ice Index v4,0.320666666666666
1985,4,total_NSR,15.36,NSIDC Sea Ice Index v4,0.6706666666666656
1986,4,total_NSR,15.06,NSIDC Sea Ice Index v4,0.3706666666666667
1987,4,total_NSR,15.21,NSIDC Sea Ice Index v4,0.520666666666667
1988,4,total_NSR,15.12,NSIDC Sea Ice Index v4,0.4306666666666654
1989,4,total_NSR,14.33,NSIDC Sea Ice Index v4,-0.3593333333333337
1990,4,total_NSR,14.65,NSIDC Sea Ice Index v4,-0.03933333333333344
1991,4,total_NSR,14.86,NSIDC Sea Ice Index v4,0.17066666666666563
1992,4,total_NSR,14.68,NSIDC Sea Ice Index v4,-0.009333333333334082
1993,4,total_NSR,15.08,NSIDC Sea Ice Index v4,0.3906666666666663
1994,4,total_NSR,14.89,NSIDC Sea Ice Index v4,0.20066666666666677
1995,4,total_NSR,14.45,NSIDC Sea Ice Index v4,-0.2393333333333345
1996,4,total_NSR,14.22,NSIDC Sea Ice Index v4,-0.46933333333333316
1997,4,total_NSR,14.56,NSIDC Sea Ice Index v4,-0.1293333333333333
1998,4,total_NSR,14.89,NSIDC Sea Ice Index v4,0.20066666666666677
1999,4,total_NSR,15.08,NSIDC Sea Ice Index v4,0.3906666666666663
2000,4,total_NSR,14.56,NSIDC Sea Ice Index v4,-0.1293333333333333
2001,4,total_NSR,14.86,NSIDC Sea Ice Index v4,0.17066666666666563
2002,4,total_NSR,14.3,NSIDC Sea Ice Index v4,-0.3893333333333331
2003,4,total_NSR,14.51,NSIDC Sea Ice Index v4,-0.179333333333334
2004,4,total_NSR,13.99,NSIDC Sea Ice Index v4,-0.6993333333333336
2005,4,total_NSR,14.09,NSIDC Sea Ice Index v4,-0.5993333333333339
2006,4,total_NSR,13.91,NSIDC Sea Ice Index v4,-0.7793333333333337
2007,4,total_NSR,13.85,NSIDC Sea Ice Index v4,-0.8393333333333342
2008,4,total_NSR,14.35,NSIDC Sea Ice Index v4,-0.33933333333333415
2009,4,total_NSR,14.5,NSIDC Sea Ice Index v4,-0.1893333333333338
2010,4,total_NSR,14.66,NSIDC Sea Ice Index v4,-0.029333333333333655
2011,4,total_NSR,14.11,NSIDC Sea Ice Index v4,-0.5793333333333344
2012,4,total_NSR,14.63,NSIDC Sea Ice Index v4,-0.059333333333333016
2013,4,total_NSR,14.3,NSIDC Sea Ice Index v4,-0.3893333333333331
2014,4,total_NSR,14.09,NSIDC Sea Ice Index v4,-0.5993333333333339
2015,4,total_NSR,13.89,NSIDC Sea Ice Index v4,-0.7993333333333332
2016,4,total_NSR,13.68,NSIDC Sea Ice Index v4,-1.009333333333334
2017,4,total_NSR,13.75,NSIDC Sea Ice Index v4,-0.9393333333333338
2018,4,total_NSR,13.7,NSIDC Sea Ice Index v4,-0.9893333333333345
2019,4,total_NSR,13.43,NSIDC Sea Ice Index v4,-1.259333333333334
2020,4,total_NSR,13.62,NSIDC Sea Ice Index v4,-1.0693333333333346
2021,4,total_NSR,13.79,NSIDC Sea Ice Index v4,-0.8993333333333347
2022,4,total_NSR,13.99,NSIDC Sea Ice Index v4,-0.6993333333333336
2023,4,total_NSR,13.92,NSIDC Sea Ice Index v4,-0.7693333333333339
2024,4,total_NSR,14.04,NSIDC Sea Ice Index v4,-0.6493333333333347
2025,4,total_NSR,13.83,NSIDC Sea Ice Index v4,-0.8593333333333337
2026,4,total_NSR,13.57,NSIDC Sea Ice Index v4,-1.1193333333333335
1979,5,total_NSR,13.86,NSIDC Sea Ice Index v4,0.5743333333333336
1980,5,total_NSR,13.79,NSIDC Sea Ice Index v4,0.5043333333333333
1981,5,total_NSR,13.8,NSIDC Sea Ice Index v4,0.5143333333333349
1982,5,total_NSR,13.97,NSIDC Sea Ice Index v4,0.6843333333333348
1983,5,total_NSR,13.49,NSIDC Sea Ice Index v4,0.20433333333333437
1984,5,total_NSR,13.58,NSIDC Sea Ice Index v4,0.2943333333333342
1985,5,total_NSR,14.07,NSIDC Sea Ice Index v4,0.7843333333333344
1986,5,total_NSR,13.38,NSIDC Sea Ice Index v4,0.09433333333333493
1987,5,total_NSR,13.74,NSIDC Sea Ice Index v4,0.45433333333333437
1988,5,total_NSR,13.56,NSIDC Sea Ice Index v4,0.27433333333333465
1989,5,total_NSR,13.04,NSIDC Sea Ice Index v4,-0.2456666666666667
1990,5,total_NSR,13.23,NSIDC Sea Ice Index v4,-0.05566666666666542
1991,5,total_NSR,13.47,NSIDC Sea Ice Index v4,0.1843333333333348
1992,5,total_NSR,13.22,NSIDC Sea Ice Index v4,-0.06566666666666521
1993,5,total_NSR,13.37,NSIDC Sea Ice Index v4,0.08433333333333337
1994,5,total_NSR,13.62,NSIDC Sea Ice Index v4,0.33433333333333337
1995,5,total_NSR,12.97,NSIDC Sea Ice Index v4,-0.3156666666666652
1996,5,total_NSR,13.09,NSIDC Sea Ice Index v4,-0.195666666666666
1997,5,total_NSR,13.18,NSIDC Sea Ice Index v4,-0.10566666666666613
1998,5,total_NSR,13.59,NSIDC Sea Ice Index v4,0.304333333333334
1999,5,total_NSR,13.75,NSIDC Sea Ice Index v4,0.46433333333333415
2000,5,total_NSR,13.15,NSIDC Sea Ice Index v4,-0.1356666666666655
2001,5,total_NSR,13.51,NSIDC Sea Ice Index v4,0.22433333333333394
2002,5,total_NSR,12.97,NSIDC Sea Ice Index v4,-0.3156666666666652
2003,5,total_NSR,13.02,NSIDC Sea Ice Index v4,-0.2656666666666663
2004,5,total_NSR,12.56,NSIDC Sea Ice Index v4,-0.7256666666666653
2005,5,total_NSR,12.91,NSIDC Sea Ice Index v4,-0.3756666666666657
2006,5,total_NSR,12.52,NSIDC Sea Ice Index v4,-0.7656666666666663
2007,5,total_NSR,12.78,NSIDC Sea Ice Index v4,-0.5056666666666665
2008,5,total_NSR,12.97,NSIDC Sea Ice Index v4,-0.3156666666666652
2009,5,total_NSR,13.19,NSIDC Sea Ice Index v4,-0.09566666666666634
2010,5,total_NSR,12.87,NSIDC Sea Ice Index v4,-0.41566666666666663
2011,5,total_NSR,12.68,NSIDC Sea Ice Index v4,-0.6056666666666661
2012,5,total_NSR,13.01,NSIDC Sea Ice Index v4,-0.27566666666666606
2013,5,total_NSR,13.0,NSIDC Sea Ice Index v4,-0.28566666666666585
2014,5,total_NSR,12.7,NSIDC Sea Ice Index v4,-0.5856666666666666
2015,5,total_NSR,12.47,NSIDC Sea Ice Index v4,-0.8156666666666652
2016,5,total_NSR,11.92,NSIDC Sea Ice Index v4,-1.365666666666666
2017,5,total_NSR,12.63,NSIDC Sea Ice Index v4,-0.6556666666666651
2018,5,total_NSR,12.23,NSIDC Sea Ice Index v4,-1.0556666666666654
2019,5,total_NSR,12.19,NSIDC Sea Ice Index v4,-1.0956666666666663
2020,5,total_NSR,12.34,NSIDC Sea Ice Index v4,-0.945666666666666
2021,5,total_NSR,12.68,NSIDC Sea Ice Index v4,-0.6056666666666661
2022,5,total_NSR,12.88,NSIDC Sea Ice Index v4,-0.40566666666666507
2023,5,total_NSR,12.82,NSIDC Sea Ice Index v4,-0.46566666666666556
2024,5,total_NSR,12.74,NSIDC Sea Ice Index v4,-0.5456666666666656
2025,5,total_NSR,12.49,NSIDC Sea Ice Index v4,-0.7956666666666656
1979,6,total_NSR,12.53,NSIDC Sea Ice Index v4,0.7650000000000006
1980,6,total_NSR,12.2,NSIDC Sea Ice Index v4,0.4350000000000005
1981,6,total_NSR,12.43,NSIDC Sea Ice Index v4,0.6650000000000009
1982,6,total_NSR,12.48,NSIDC Sea Ice Index v4,0.7150000000000016
1983,6,total_NSR,12.3,NSIDC Sea Ice Index v4,0.5350000000000019
1984,6,total_NSR,12.15,NSIDC Sea Ice Index v4,0.38500000000000156
1985,6,total_NSR,12.22,NSIDC Sea Ice Index v4,0.45500000000000185
1986,6,total_NSR,11.98,NSIDC Sea Ice Index v4,0.21500000000000163
1987,6,total_NSR,12.49,NSIDC Sea Ice Index v4,0.7250000000000014
1988,6,total_NSR,11.94,NSIDC Sea Ice Index v4,0.1750000000000007
1989,6,total_NSR,12.24,NSIDC Sea Ice Index v4,0.4750000000000014
1990,6,total_NSR,11.64,NSIDC Sea Ice Index v4,-0.12499999999999822
1991,6,total_NSR,12.11,NSIDC Sea Ice Index v4,0.34500000000000064
1992,6,total_NSR,12.15,NSIDC Sea Ice Index v4,0.38500000000000156
1993,6,total_NSR,11.87,NSIDC Sea Ice Index v4,0.10500000000000043
1994,6,total_NSR,12.02,NSIDC Sea Ice Index v4,0.2550000000000008
1995,6,total_NSR,11.44,NSIDC Sea Ice Index v4,-0.3249999999999993
1996,6,total_NSR,12.08,NSIDC Sea Ice Index v4,0.3150000000000013
1997,6,total_NSR,11.74,NSIDC Sea Ice Index v4,-0.02499999999999858
1998,6,total_NSR,11.71,NSIDC Sea Ice Index v4,-0.05499999999999794
1999,6,total_NSR,11.78,NSIDC Sea Ice Index v4,0.015000000000000568
2000,6,total_NSR,11.67,NSIDC Sea Ice Index v4,-0.09499999999999886
2001,6,total_NSR,11.46,NSIDC Sea Ice Index v4,-0.30499999999999794
2002,6,total_NSR,11.58,NSIDC Sea Ice Index v4,-0.18499999999999872
2003,6,total_NSR,11.6,NSIDC Sea Ice Index v4,-0.16499999999999915
2004,6,total_NSR,11.45,NSIDC Sea Ice Index v4,-0.3149999999999995
2005,6,total_NSR,11.16,NSIDC Sea Ice Index v4,-0.6049999999999986
2006,6,total_NSR,10.92,NSIDC Sea Ice Index v4,-0.8449999999999989
2007,6,total_NSR,11.22,NSIDC Sea Ice Index v4,-0.5449999999999982
2008,6,total_NSR,11.21,NSIDC Sea Ice Index v4,-0.5549999999999979
2009,6,total_NSR,11.32,NSIDC Sea Ice Index v4,-0.4449999999999985
2010,6,total_NSR,10.59,NSIDC Sea Ice Index v4,-1.174999999999999
2011,6,total_NSR,10.75,NSIDC Sea Ice Index v4,-1.0149999999999988
2012,6,total_NSR,10.67,NSIDC Sea Ice Index v4,-1.0949999999999989
2013,6,total_NSR,11.36,NSIDC Sea Ice Index v4,-0.40499999999999936
2014,6,total_NSR,11.03,NSIDC Sea Ice Index v4,-0.7349999999999994
2015,6,total_NSR,10.88,NSIDC Sea Ice Index v4,-0.884999999999998
2016,6,total_NSR,10.41,NSIDC Sea Ice Index v4,-1.3549999999999986
2017,6,total_NSR,10.76,NSIDC Sea Ice Index v4,-1.004999999999999
2018,6,total_NSR,10.78,NSIDC Sea Ice Index v4,-0.9849999999999994
2019,6,total_NSR,10.59,NSIDC Sea Ice Index v4,-1.174999999999999
2020,6,total_NSR,10.59,NSIDC Sea Ice Index v4,-1.174999999999999
2021,6,total_NSR,10.77,NSIDC Sea Ice Index v4,-0.9949999999999992
2022,6,total_NSR,10.88,NSIDC Sea Ice Index v4,-0.884999999999998
2023,6,total_NSR,10.99,NSIDC Sea Ice Index v4,-0.7749999999999986
2024,6,total_NSR,10.85,NSIDC Sea Ice Index v4,-0.9149999999999991
2025,6,total_NSR,10.4,NSIDC Sea Ice Index v4,-1.3649999999999984
1979,7,total_NSR,10.31,NSIDC Sea Ice Index v4,0.8410000000000011
1980,7,total_NSR,10.1,NSIDC Sea Ice Index v4,0.6310000000000002
1981,7,total_NSR,10.27,NSIDC Sea Ice Index v4,0.8010000000000002
1982,7,total_NSR,10.37,NSIDC Sea Ice Index v4,0.9009999999999998
1983,7,total_NSR,10.57,NSIDC Sea Ice Index v4,1.1010000000000009
1984,7,total_NSR,9.98,NSIDC Sea Ice Index v4,0.511000000000001
1985,7,total_NSR,9.74,NSIDC Sea Ice Index v4,0.2710000000000008
1986,7,total_NSR,10.15,NSIDC Sea Ice Index v4,0.6810000000000009
1987,7,total_NSR,10.33,NSIDC Sea Ice Index v4,0.8610000000000007
1988,7,total_NSR,9.81,NSIDC Sea Ice Index v4,0.3410000000000011
1989,7,total_NSR,10.13,NSIDC Sea Ice Index v4,0.6610000000000014
1990,7,total_NSR,9.25,NSIDC Sea Ice Index v4,-0.21899999999999942
1991,7,total_NSR,9.51,NSIDC Sea Ice Index v4,0.04100000000000037
1992,7,total_NSR,10.32,NSIDC Sea Ice Index v4,0.8510000000000009
1993,7,total_NSR,9.48,NSIDC Sea Ice Index v4,0.011000000000001009
1994,7,total_NSR,9.93,NSIDC Sea Ice Index v4,0.4610000000000003
1995,7,total_NSR,8.99,NSIDC Sea Ice Index v4,-0.4789999999999992
1996,7,total_NSR,10.16,NSIDC Sea Ice Index v4,0.6910000000000007
1997,7,total_NSR,9.41,NSIDC Sea Ice Index v4,-0.058999999999999275
1998,7,total_NSR,9.42,NSIDC Sea Ice Index v4,-0.04899999999999949
